Attribute,Date,Emp Code,Employee Status,Month,Sum of Value
Branch Meetings,2024-01-01 00:00:00,1,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,2,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,3,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,4,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,5,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,6,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,7,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,8,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,9,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,10,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,11,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,12,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,13,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,14,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,15,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,16,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,17,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,18,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,19,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,20,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,21,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,22,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,23,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,24,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,25,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,26,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,27,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,28,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,29,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,30,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,31,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,32,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,33,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,34,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,35,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,36,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,37,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,38,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,39,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,40,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,41,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,42,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,43,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,44,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,45,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,46,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,47,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,48,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,49,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,50,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,51,Active, Jan,0
Branch Meetings,2024-01-01 00:00:00,52,Active, Jan,24
Branch Meetings,2024-01-01 00:00:00,53,Active, Jan,54
Branch Meetings,2024-01-01 00:00:00,54,Active, Jan,90
Branch Meetings,2024-01-01 00:00:00,55,Active, Jan,32
Branch Meetings,2024-01-01 00:00:00,56,Active, Jan,90
Branch Meetings,2024-01-01 00:00:00,57,Active, Jan,18
Branch Meetings,2024-01-01 00:00:00,58,Active, Jan,25
Branch Meetings,2024-01-01 00:00:00,59,Active, Jan,77
Branch Meetings,2024-01-01 00:00:00,60,Active, Jan,36
Branch Meetings,2024-01-01 00:00:00,61,Active, Jan,51
Branch Meetings,2024-01-01 00:00:00,62,Active, Jan,89
Branch Meetings,2024-01-01 00:00:00,63,Active, Jan,96
Branch Meetings,2024-01-01 00:00:00,64,Active, Jan,38
Branch Meetings,2024-01-01 00:00:00,65,Active, Jan,86
Branch Meetings,2024-01-01 00:00:00,66,Active, Jan,106
Branch Meetings,2024-01-01 00:00:00,67,Active, Jan,55
Branch Meetings,2024-01-01 00:00:00,68,Active, Jan,50
Branch Meetings,2024-01-01 00:00:00,69,Active, Jan,46
Branch Meetings,2024-01-01 00:00:00,70,Active, Jan,104
Branch Meetings,2024-01-01 00:00:00,71,Active, Jan,72
Branch Meetings,2024-01-01 00:00:00,72,Active, Jan,62
Branch Meetings,2024-01-01 00:00:00,73,Active, Jan,62
Branch Meetings,2024-01-01 00:00:00,74,Active, Jan,46
Branch Meetings,2024-01-01 00:00:00,75,Active, Jan,72
Branch Meetings,2024-01-01 00:00:00,76,Active, Jan,104
Branch Meetings,2024-01-01 00:00:00,77,Active, Jan,72
Branch Meetings,2024-01-01 00:00:00,78,Active, Jan,61
Branch Meetings,2024-01-01 00:00:00,79,Active, Jan,46
Branch Meetings,2024-01-01 00:00:00,80,Active, Jan,37
Branch Meetings,2024-01-01 00:00:00,81,Active, Jan,52
Branch Meetings,2024-01-01 00:00:00,82,Active, Jan,81
Branch Meetings,2024-01-01 00:00:00,83,Active, Jan,97
Branch Meetings,2024-01-01 00:00:00,84,Active, Jan,74
Branch Meetings,2024-01-01 00:00:00,85,Active, Jan,23
Branch Meetings,2024-01-01 00:00:00,86,Active, Jan,10
Branch Meetings,2024-01-01 00:00:00,87,Active, Jan,93
Branch Meetings,2024-01-01 00:00:00,88,Active, Jan,55
Branch Meetings,2024-01-01 00:00:00,89,Active, Jan,61
Branch Meetings,2024-01-01 00:00:00,90,Active, Jan,90
Branch Meetings,2024-01-01 00:00:00,91,Active, Jan,96
Branch Meetings,2024-01-01 00:00:00,92,Active, Jan,48
Branch Meetings,2024-01-01 00:00:00,93,Active, Jan,71
Branch Meetings,2024-01-01 00:00:00,94,Active, Jan,38
Branch Meetings,2024-01-01 00:00:00,95,Active, Jan,98
Branch Meetings,2024-01-01 00:00:00,96,Active, Jan,109
Branch Meetings,2024-01-01 00:00:00,97,Active, Jan,16
Branch Meetings,2024-01-01 00:00:00,98,Active, Jan,59
Branch Meetings,2024-01-01 00:00:00,99,Active, Jan,69
Branch Meetings,2024-01-01 00:00:00,100,Active, Jan,21
Branch Meetings,2024-01-01 00:00:00,101,Active, Jan,23
Branch Meetings,2024-01-01 00:00:00,102,Active, Jan,53
Branch Meetings,2024-01-01 00:00:00,103,Active, Jan,106
Branch Meetings,2024-01-01 00:00:00,104,Active, Jan,89
Branch Meetings,2024-01-01 00:00:00,105,Active, Jan,80
Branch Meetings,2024-01-01 00:00:00,106,Active, Jan,104
Branch Meetings,2024-01-01 00:00:00,107,Active, Jan,64
Branch Meetings,2024-01-01 00:00:00,108,Active, Jan,62
Branch Meetings,2024-01-01 00:00:00,109,Active, Jan,35
Branch Meetings,2024-01-01 00:00:00,110,Active, Jan,23
Branch Meetings,2024-01-01 00:00:00,111,Active, Jan,26
Branch Meetings,2024-01-01 00:00:00,112,Active, Jan,84
Branch Meetings,2024-01-01 00:00:00,113,Active, Jan,27
Branch Meetings,2024-01-01 00:00:00,114,Active, Jan,24
Branch Meetings,2024-01-01 00:00:00,115,Active, Jan,74
Branch Meetings,2024-01-01 00:00:00,116,Active, Jan,65
Branch Meetings,2024-01-01 00:00:00,117,Active, Jan,19
Branch Meetings,2024-01-01 00:00:00,118,Active, Jan,93
Branch Meetings,2024-01-01 00:00:00,119,Active, Jan,38
Branch Meetings,2024-01-01 00:00:00,120,Active, Jan,87
Branch Meetings,2024-01-01 00:00:00,121,Active, Jan,64
